facet_id,facet_name,category,polarity,definition,scale_1,scale_2,scale_3,scale_4,scale_5
F0001,Risktaking,behavioral,negative,Measurable trait/behavior indicating a person's tendency to engage in risky activities or behaviors.,"absent / not present - The individual avoids all forms of risk-taking behavior, showing a strong aversion to potential negative outcomes.","slight / faint trace - The individual rarely engages in risky activities, preferring safer alternatives or avoiding situations where risks are high.","moderate / clearly present - The individual sometimes engages in risky behaviors, but generally takes precautions and considers potential outcomes before acting.","strong / prominent - The individual occasionally engages in risky activities, often without considering the risks involved or seeking ways to mitigate them.","very strong / dominant - The individual frequently engages in high-risk activities, disregarding potential negative consequences and showing little concern for safety."
F0002,Naivety,behavioral,negative,"Measurable trait/behavior indicating a person's tendency to believe in or accept things without sufficient evidence, often associated with risk-taking and susceptibility to manipulation.",absent / not present - The individual shows no signs of naivety. They are skeptical and critical of new ideas and situations.,"slight / faint trace - The individual occasionally believes in things without sufficient evidence, but it does not significantly impact their behavior or decision-making.","moderate / clearly present - The individual frequently accepts information at face value, leading to occasional misunderstandings and minor social faux pas.","strong / prominent - The individual is overly trusting of others and easily manipulated, often making impulsive decisions without considering potential risks or consequences.","very strong / dominant - The individual has a pervasive lack of skepticism, leading to significant social, financial, or health-related issues due to their naivety."
F0003,Acidity,emotion,negative,"Acidity refers to a person's tendency towards irritability, anger, or frustration in conversations.",The individual shows no signs of irritability or anger during the conversation.,The individual occasionally expresses mild irritation but not consistently throughout the conversation.,"The individual displays moderate levels of irritability, often interrupting with complaints or criticisms.","The individual frequently and strongly expresses anger or frustration, dominating conversations with negative comments.","The individual is highly irritable and angry, making it difficult for others to engage in the conversation without feeling threatened."
F0004,Democratic Leadership,behavioral,positive,"A measurable trait/behavior observed in how a person speaks about leading or participating in democratic processes, including their attitudes and actions towards inclusivity, participation, and fair decision-making.",Absent: The individual shows no inclination towards democratic leadership. They do not discuss or advocate for democratic principles or practices.,"Slight: There is a very faint trace of interest in democratic leadership, but it does not significantly influence their speech or actions. They may mention democracy in passing without strong conviction.","Moderate: The individual displays moderate enthusiasm and engagement with democratic principles. Their conversations often include discussions about the benefits of inclusivity and fair decision-making, though these are not central to their discourse.","Strong: Democratic leadership is a prominent aspect of the individual's speech and actions. They frequently discuss ways to enhance democratic processes, advocate for inclusive practices, and emphasize fairness in decision-making.","Very Strong: The individual consistently prioritizes democratic principles over all other considerations. Their conversations are dominated by discussions about inclusivity, fair representation, and ensuring that everyone's voice is heard in leadership roles."
F0005,Common-sense,cognitive,positive,The measurable trait/behavior that assesses a person's ability to apply general knowledge and practical reasoning in everyday situations.,"A very strong understanding of common-sense principles is generally adaptive and desirable, as it allows for effective problem-solving and decision-making in typical life scenarios.","A strong but not dominant understanding of common-sense principles is still beneficial and can be seen as a positive trait, indicating the ability to apply general knowledge effectively.",A moderate understanding of common-sense principles is present but may lead to occasional misunderstandings or misjudgments in everyday situations.,A slight understanding of common-sense principles is faintly noticeable and can result in some errors or difficulties in applying general knowledge appropriately.,"The absence of a strong understanding of common-sense principles is evident, leading to frequent misunderstandings and misjudgments in everyday situations."
F0006,Hesitation,linguistic,negative,"The frequency and intensity of pauses, repetitions, and self-corrections in a conversation.",absent / not present - The speaker shows no hesitation at all. They speak fluently without any noticeable breaks or corrections.,"slight / faint trace - The speaker occasionally hesitates, with pauses that are barely perceptible and self-corrections that are minimal and brief.","moderate / clearly present - The speaker frequently hesitates, with noticeable pauses between sentences and occasional self-corrections that affect the flow of conversation but do not dominate it.","strong / prominent - The speaker often hesitates significantly, with frequent and prolonged pauses and multiple self-corrections that disrupt the conversational rhythm and clarity.","very strong / dominant - The speaker frequently and intensely hesitates, with long pauses between sentences and numerous self-corrections that dominate the conversation, making it difficult to follow their thoughts or ideas."
F0007,Discontentment,emotion,negative,"Measurable trait/behavior indicating a persistent state of dissatisfaction, frustration, or unrest expressed in speech.",absent / not present: No expressions of dissatisfaction are observed; the individual maintains an overall positive demeanor and outlook.,"slight / faint trace: Rarely mentions feelings of discontentment; if mentioned, it is in a very mild form or contextually appropriate.","moderate / clearly present: Occasional expressions of dissatisfaction, but not frequent; acknowledges minor annoyances without dwelling on them.","strong / prominent: Frequent mention of frustrations, expresses anger or disappointment in a somewhat consistent manner.",very strong / dominant: Expresses constant irritability and resentment towards others and situations. Talks about grievances and complaints with great intensity.
F0008,Overprotectiveness,behavioral,negative,"A measurable trait/behavior characterized by a tendency to excessively monitor and control others' actions, decisions, or emotions in an attempt to prevent potential harm.",absent / not present - The individual shows no signs of monitoring or controlling others' activities. They allow individuals significant autonomy and freedom.,"slight / faint trace - The individual occasionally checks on others but does so in a casual manner, without causing undue stress or disruption to the relationship.","moderate / clearly present - The individual frequently monitors others' activities, often with subtle hints and suggestions. They may cause minor discomfort or inconvenience due to their constant oversight.","strong / prominent - The individual closely watches over others at all times, making decisions for them when they perceive a risk. This can lead to resentment and conflict in the relationship.","very strong / dominant - The individual has complete control over others' lives, making most decisions and dictating their actions. They may be seen as overly controlling or abusive."
F0009,Merriness,emotion,positive,"Merriness is a positive emotional state characterized by joy, happiness, and lightheartedness in conversation.",The speaker shows no signs of joy or happiness. Their tone and expressions are neutral.,"The speaker occasionally mentions trivial things with a hint of amusement, but it's not prominent.","The speaker frequently expresses minor moments of delight in their words, though these are still subtle.","The speaker consistently shares lighthearted anecdotes and jokes, often interrupting the conversation with smiles.",The speaker's entire tone is filled with infectious laughter and joy. They weave humor into every sentence.
F0010,Emotionalism,emotion,negative,Measurable trait/behavior reflecting an individual's tendency to express and regulate emotions in a manner that can be observed during conversation.,A person with a score of 1 on the Emotionalism facet is generally not present. They do not show any signs of emotional expression or regulation in their speech.,"A person with a score of 2 on the Emotionalism facet exhibits slight traces of emotional expression and regulation, but these are faint and inconsistent.","A person with a score of 3 on the Emotionalism facet shows moderate signs of emotional expression and regulation. They may express emotions in a somewhat controlled manner, though it is not prominent or consistent.","A person with a score of 4 on the Emotionalism facet displays strong expressions of emotion. Their speech often contains clear indications of their emotional state, which can be both helpful and overwhelming to others depending on context.","A person with a score of 5 on the Emotionalism facet has very strong expressions of emotion. They are likely to dominate conversations with intense emotional content, potentially leading to discomfort or disengagement from others."
